iso_code,iso_region,iso_subregion
AFG,Asia,Southern Asia
ALA,Europe,Northern Europe
ALB,Europe,Southern Europe
DZA,Africa,Northern Africa
ASM,Oceania,Polynesia
AND,Europe,Southern Europe
AGO,Africa,Southern Africa
AIA,Latin America,Latin America
ATG,Latin America,Latin America
ARG,Latin America,Latin America
ARM,Asia,Western Asia
ABW,Latin America,Latin America
AUS,Oceania,Australia and NZ
AUT,Europe,Western Europe
AZE,Asia,Western Asia
BHS,Latin America,Latin America
BHR,Asia,Western Asia
BGD,Asia,Southern Asia
BRB,Latin America,Latin America
BLR,Europe,Eastern Europe
BEL,Europe,Western Europe
BLZ,Latin America,Latin America
BEN,Africa,Southern Africa
BMU,Latin America,Northern America
BTN,Asia,Southern Asia
BOL,Latin America,Latin America
BES,Latin America,Latin America
BIH,Europe,Southern Europe
BWA,Africa,Southern Africa
BVT,Latin America,Latin America
BRA,Latin America,Latin America
IOT,Africa,Southern Africa
BRN,Asia,SE Asia
BGR,Europe,Eastern Europe
BFA,Africa,Southern Africa
BDI,Africa,Southern Africa
CPV,Africa,Southern Africa
KHM,Asia,SE Asia
CMR,Africa,Southern Africa
CAN,North America,Northern America
CYM,Latin America,Latin America
CAF,Africa,Southern Africa
TCD,Africa,Southern Africa
CHL,Latin America,Latin America
CHN,Asia,Eastern Asia
CXR,Oceania,Australia and NZ
CCK,Oceania,Australia and NZ
COL,Latin America,Latin America
COM,Africa,Southern Africa
COG,Africa,Southern Africa
COD,Africa,Southern Africa
COK,Oceania,Polynesia
CRI,Latin America,Latin America
CIV,Africa,Southern Africa
HRV,Europe,Southern Europe
CUB,Latin America,Latin America
CUW,Latin America,Latin America
CYP,Asia,Western Asia
CZE,Europe,Eastern Europe
DNK,Europe,Northern Europe
DJI,Africa,Southern Africa
DMA,Latin America,Latin America
DOM,Latin America,Latin America
ECU,Latin America,Latin America
EGY,Africa,Northern Africa
SLV,Latin America,Latin America
GNQ,Africa,Southern Africa
ERI,Africa,Southern Africa
EST,Europe,Northern Europe
SWZ,Africa,Southern Africa
ETH,Africa,Southern Africa
FLK,Latin America,Latin America
FRO,Europe,Northern Europe
FJI,Oceania,Melanesia
FIN,Europe,Northern Europe
FRA,Europe,Western Europe
GUF,Latin America,Latin America
PYF,Oceania,Polynesia
ATF,Africa,Southern Africa
GAB,Africa,Southern Africa
GMB,Africa,Southern Africa
GEO,Asia,Western Asia
DEU,Europe,Western Europe
GHA,Africa,Southern Africa
GIB,Europe,Southern Europe
GRC,Europe,Southern Europe
GRL,Latin America,Northern America
GRD,Latin America,Latin America
GLP,Latin America,Latin America
GUM,Oceania,Micronesia
GTM,Latin America,Latin America
GGY,Europe,Northern Europe
GIN,Africa,Southern Africa
GNB,Africa,Southern Africa
GUY,Latin America,Latin America
HTI,Latin America,Latin America
HMD,Oceania,Australia and NZ
VAT,Europe,Southern Europe
HND,Latin America,Latin America
HKG,Asia,Eastern Asia
HUN,Europe,Eastern Europe
ISL,Europe,Northern Europe
